Image,Width,Height
/home/edramos/Documents/MLOPS/SMAP-Recognition/CustomDataset/train/step20/20240310_180239_037.jpg,224,224
/home/edramos/Documents/MLOPS/SMAP-Recognition/CustomDataset/train/step20/20240310_180239_050.jpg,224,224
/home/edramos/Documents/MLOPS/SMAP-Recognition/CustomDataset/train/step20/20240310_180239_044.jpg,224,224
/home/edramos/Documents/MLOPS/SMAP-Recognition/CustomDataset/train/step20/20240310_180239_059.jpg,224,224
/home/edramos/Documents/MLOPS/SMAP-Recognition/CustomDataset/train/step20/20240310_180239_011.jpg,224,224
/home/edramos/Documents/MLOPS/SMAP-Recognition/CustomDataset/train/step20/20240310_180239_009.jpg,224,224
/home/edramos/Documents/MLOPS/SMAP-Recognition/CustomDataset/train/step20/20240310_180239_099.jpg,224,224
/home/edramos/Documents/MLOPS/SMAP-Recognition/CustomDataset/train/step20/20240310_180239_041.jpg,224,224
/home/edramos/Documents/MLOPS/SMAP-Recognition/CustomDataset/train/step20/20240310_180239_008.jpg,224,224
/home/edramos/Documents/MLOPS/SMAP-Recognition/CustomDataset/train/step20/SpaceShuttle-20240309215516-SmartSelect_20240309-183248_LEGO Builder.jpg,224,224
/home/edramos/Documents/MLOPS/SMAP-Recognition/CustomDataset/train/step20/20240310_180239_017.jpg,224,224
/home/edramos/Documents/MLOPS/SMAP-Recognition/CustomDataset/train/step20/20240310_180239_098.jpg,224,224
/home/edramos/Documents/MLOPS/SMAP-Recognition/CustomDataset/train/step20/20240310_180239_016.jpg,224,224
/home/edramos/Documents/MLOPS/SMAP-Recognition/CustomDataset/train/step20/20240310_180239_053.jpg,224,224
/home/edramos/Documents/MLOPS/SMAP-Recognition/CustomDataset/train/step20/20240310_180239_023.jpg,224,224
/home/edramos/Documents/MLOPS/SMAP-Recognition/CustomDataset/train/step20/20240310_180239_085.jpg,224,224
/home/edramos/Documents/MLOPS/SMAP-Recognition/CustomDataset/train/step20/20240310_180239_063.jpg,224,224
/home/edramos/Documents/MLOPS/SMAP-Recognition/CustomDataset/train/step20/20240310_180239_060.jpg,224,224
/home/edramos/Documents/MLOPS/SMAP-Recognition/CustomDataset/train/step20/20240310_180239_069.jpg,224,224
/home/edramos/Documents/MLOPS/SMAP-Recognition/CustomDataset/train/step20/20240310_180239_032.jpg,224,224
/home/edramos/Documents/MLOPS/SMAP-Recognition/CustomDataset/train/step20/20240310_180239_012.jpg,224,224
/home/edramos/Documents/MLOPS/SMAP-Recognition/CustomDataset/train/step20/20240310_180239_065.jpg,224,224
/home/edramos/Documents/MLOPS/SMAP-Recognition/CustomDataset/train/step20/20240310_180239_042.jpg,224,224
